avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
397.2,330.0,173.5,243.9,274.3,376.7,411.3,431.3,447.5,466.7,495.9,539.8,665.6,5654.7,10666.5,4991.8,5000
480.0,407.5,173.5,239.3,263.3,457.6,534.2,572.4,598.4,629.7,669.5,729.8,867.4,5103.2,9867.4,10031.0,10000
528.1,436.6,160.7,238.5,262.6,494.9,598.1,656.4,696.3,740.9,796.0,872.2,1062.4,5159.2,12862.5,15003.8,15000
574.9,405.0,173.5,237.2,261.7,525.4,638.3,714.9,771.1,833.3,905.4,1007.7,1252.2,5218.5,12797.3,19964.2,20000
589.6,418.0,173.5,236.3,259.6,527.7,663.2,754.1,820.5,891.5,973.6,1087.5,1355.1,4413.7,12881.7,25069.4,25000
622.4,500.4,173.5,238.5,264.6,573.7,695.3,771.2,831.5,908.1,1000.1,1137.6,1458.8,7773.7,18134.7,29996.0,30000
630.4,459.7,173.5,239.7,266.8,586.5,722.8,797.4,855.8,925.7,1015.1,1153.5,1484.9,4456.6,19086.3,34997.8,35000
633.6,443.7,173.5,247.6,277.5,586.8,722.1,799.0,855.7,924.1,1015.1,1159.5,1489.5,4050.7,15689.3,39957.2,40000
652.4,466.2,173.5,260.3,294.8,597.2,734.3,815.1,875.0,947.0,1044.0,1187.9,1535.8,6507.7,15980.0,45075.8,45000
1368.8,925.9,173.5,962.0,1021.8,1172.3,1247.1,1297.0,1446.6,1985.8,2185.7,2327.0,2557.2,16263.2,31627.1,48426.6,50000
1323.7,814.6,173.5,946.6,994.7,1143.1,1202.1,1259.3,1352.2,2006.9,2144.2,2278.9,2489.9,12642.4,29762.8,50314.8,55000
